Date,Product,Violation,Firm
December 2016,BABY DOLL,Exceeds Phthalate Permanent Ban Limit,SANDA IMPORTS INC.
December 2016,FASHION DOLLS W/ ACCESSORIES,Exceeds Phthalate Permanent Ban Limit,SANDA IMPORTS INC.
December 2016,BEAUTY GIRL DOLL,Exceeds Phthalate Permanent Ban Limit,SANDA IMPORTS INC.
December 2016,GIRL DOLL W/ STROLLER,Tracking Label Violation,SANDA IMPORTS INC.
December 2016,SWEET FASHION DOLLS,Tracking Label Violation,SANDA IMPORTS INC.
December 2016,BASKETBALL SET W/ PUMP,Exceeds Phthalate Permanent Ban Limit,VAN THAI
December 2016,TOY GUITAR,Small Parts,EVERBRIGHT TRADING INC
December 2016,DOLL SET,Lead in Children's Product / FHSA,EVERBRIGHT TRADING INC
December 2016,TWO TONE MASSAGE BALL,ASTM Toy Standard Violation,WILLISA INTERNATIONAL INC
December 2016,TWO TONE BOLA BALL,ASTM Toy Standard Violation,WILLISA INTERNATIONAL INC
December 2016,GOLF SET,Small Ball Ban,SUNICK BERKEZIAN DBA VOCADO USA
December 2016,BUBBLE TRAIN,Small Parts,SUNICK BERKEZIAN DBA VOCADO USA
December 2016,ELECTRIC TOY-B/O DRAGON,Exceeds Phthalate Permanent Ban Limit,ANTON INTERNATIONAL INC
December 2016,B/O TOY CAR AND RACETRACK SET,Lead in Children's Product / FHSA,BH RS INC.
December 2016,BEACH SAND TOY SET,Exceeds Phthalate Permanent Ban Limit,BH RS INC.
December 2016,PULL BACK FRICTION HELICOPTER,Small Parts,EVERBRIGHT TRADING INC
December 2016,PULL BACK FRICTION CAR,Small Parts,EVERBRIGHT TRADING INC
December 2016,FLYING UFO,Lead in Children's Product / FHSA,OCEAN SALES GROUP
December 2016,OCTAGON WOOD SANDBOX,Third Party Certificate Violation,CREATIVE CEDAR DESIGNS
December 2016,FOOTEED COVERALL,Sleepwear Policy,LUCKYPALMTREE
December 2016,SONAJA - TOY RATTLE WITH BELL,Lead in Children's Product / FHSA,YOLANDA PARA
December 2016,SONAJA - TOY RATTLE WITH BELL,Lead in Children's Product / FHSA,YOLANDA PARRA
December 2016,PRESCRIPTION DRUGS,Prescription Drugs Packaging,HERNDON PHARMACY & MEDICAL SUPPLY
December 2016,STUDMARK LIQUID SILICON GLUE,Methyl Alcohol Packaging,OFFICE GALLERY INC
December 2016,STUDMARK ACRYLIC PAINT,Art Materials Labeling,OFFICE GALLERY INC
December 2016,STREET TENNIS RACKET,Tracking Label Violation,FUZZY BALL TENNIS AKA STREET TENNIS CLUB
December 2016,STREET TENNIS RACKET,Tracking Label Violation,FUZZY BALL TENNIS AKA STREET TENNIS CLUB
December 2016,STREET TENNIS RACKET,Tracking Label Violation,FUZZY BALL TENNIS AKA STREET TENNIS CLUB
December 2016,STREET TENNIS RACKET BACKPACK,Tracking Label Violation,FUZZY BALL TENNIS AKA STREET TENNIS CLUB
December 2016,DOLL AND KITCHEN SET,Lead in Children's Product / FHSA,S Y TRADING INC.
December 2016,TOY B//O BUMP N' GO AIRPLANE,Small Parts,EVERBRIGHT TRADING INC
December 2016,YOUTH NIGHT GOWN,Sleepwear Flammability Failure,ESTEEZ
December 2016,BOYS PANTS,Lead-in-Paint Toy/Children's Product/CPSA,E&H USA INC
December 2016,BOYS PANTS,Lead-in-Paint Toy/Children's Product/CPSA,E&H USA INC
December 2016,JUMBO MAGNETICS 100PCS SET,Tracking Label Violation,PROMO KINGS ASSOCIATES
December 2016,SUPERAUTOBOTS,Lead in Children's Product / FHSA,WONDER TECH USA
December 2016,POLICEMAN HALLOWEEN COSTUME,Lead in Children's Product / FHSA,CREATIVE KIDS
December 2016,BBQ TOY SET,Small Parts,JW CRAWFORD INC
December 2016,WOODEN FISHING GAME,Small Parts,JW CRAWFORD INC
December 2016,SUPER MARKET TOY,Third Party Certificate Violation,YELLOWTHREAD
December 2016,SUNFLOWER SHOWER FAUCET,Third Party Certificate Violation,YELLOWTHREAD
December 2016,MUSIC PLAYPAD,Third Party Certificate Violation,YELLOWTHREAD
December 2016,POTTY URINAL TRAINING,Third Party Certificate Violation,YELLOWTHREAD
December 2016,KIDS CUTE RIDE ON SUITCASE,Third Party Certificate Violation,YELLOWTHREAD
December 2016,BEAR PIGGY BANK, 1423,16 CFR 1500
December 2016,B/O TOY GUITAR,Small Parts,EVERBRIGHT TRADING INC
December 2016,POP-UP PLAY CIRCUS TENT,Lead in Children's Product / FHSA,NATURE SCIENCE & TECHNOLOGY USA INC
December 2016,TIGER RUG (CHILDREN),Tracking Label Violation,BRUBAKER HOMESHOPPING INC
December 2016,CHILDREN'S CLOG,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,DENIM BLOUSE,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,PURE VINTAGE BOY'S POLO,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,QUAD SEVE BOY'S POLO (YELLOW),Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,QUAD SEVE BOY'S POLO (LIME GRE,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,COSTA BRAVA BOY'S POLO (BLACK/,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,COSTA BRAVA BOY'S POLO (GREEN),Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,COSTA BRAVA BOY'S POLO (LITE B,Lead in Children's Product / FHSA,ME SALVE (LUCKY ME)
December 2016,PPPA DRUGS,Prescription Drugs Packaging,MAC'S PHARMACY
December 2016,CREW NECK SWEATER W ZIPPER,Lead in Children's Product / FHSA,MISS SPORTSWEAR
December 2016,B/O DANCING (CAR),Lead in Children's Product / FHSA,NTP GROUP INC
December 2016,GUITAR,Small Parts,NTP GROUP INC
December 2016,DOLPHIN BABY BATH TOY,Tracking Label Violation,SUPER TOYS WHOLESALE
December 2016,DUCK BABY BATH TOY,Tracking Label Violation,SUPER TOYS WHOLESALE
December 2016,CRAB BABY BATH TOY,Tracking Label Violation,SUPER TOYS WHOLESALE
December 2016,SUNFLOWER BABY BATH TOY,Tracking Label Violation,SUPER TOYS WHOLESALE
December 2016,CATCH BALL (VECRO BALL),Lead in Children's Product / FHSA,BONITA MARIE INTERNATIONAL
December 2016,BALL POPPER (MINI BALL POPPER,Tracking Label Violation,BONITA MARIE INTERNATIONAL
December 2016,RED KICKBOARD,Tracking Label Violation,AQUAM AQUATIC SPECIALIST INC.
December 2016,FIREMAN COSTUME,Lead in Children's Product / FHSA,BINGO DEALS CORP.
December 2016,NINJA WEAPON SET,Tracking Label Violation,MAGIC SOURCE INTERNATIONAL LTD
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Sleepwear Flammability Failure,OLLIE & BESS
December 2016,SLEEPWEAR,Sleepwear Flammability Failure,OLLIE & BESS
December 2016,SLEEPWEAR,Sleepwear Flammability Failure,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,SLEEPWEAR,Exceeds Tight Fitting Dimensions,OLLIE & BESS
December 2016,DRAIN COVER,Failure to install covers that meet ASME/ANSI,WILLOWBEND COMMUNITY CENTER
December 2016,(1) POOL,Failure to install covers that meet ASME/ANSI,THE CHILDREN VILLAGE
December 2016,PAJAMAS,Sleepwear Flammability Failure,LCK DESIGN LLC DBA LIVLY CLOTHING
December 2016,LOUNGEWEAR,Sleepwear Flammability Failure,LCK DESIGN LLC DBA LIVLY CLOTHING
December 2016,SMALL FESTIVAL BALL,Fireworks Short Fuse Burn Time,ALL EVENTS INC DBA ROBBIES FIREWORKS
